Proportion,Layers,Nodes,Activations,Returns,36_Returns,60_Returns,Deployed_Capital,36_Deployed,60_Deployed
0.75,5,"[27, 40, 53, 60, 53]","['softmax', 'relu', 'softmax', 'softmax', 'tanh']",,,,0.0,0.0,0.0
0.9125,5,"[29, 23, 18, 34, 45]","['relu', 'relu', 'softmax', 'tanh', 'softmax']",,,,0.0,0.0,0.0
1.0750000000000002,5,"[29, 62, 55, 50, 49]","['softmax', 'relu', 'tanh', 'tanh', 'softmax']",3.5036,4.5483,1.5057,2266617175.0,1488336900.0,778280275.0
1.2375,5,"[52, 30, 17, 32, 44]","['softmax', 'relu', 'softmax', 'relu', 'tanh']",3.4713,4.483,1.5724,2275794975.0,1484756750.0,791038225.0
1.4000000000000001,5,"[51, 48, 25, 55, 50]","['relu', 'relu', 'softmax', 'softmax', 'relu']",3.5286,4.5214,1.643,2274381000.0,1489915900.0,784465100.0
1.5625000000000002,5,"[51, 26, 18, 20, 33]","['softmax', 'relu', 'softmax', 'tanh', 'tanh']",3.5486,4.5704,1.6028,2273595950.0,1490734300.0,782861650.0
1.725,5,"[41, 49, 16, 41, 47]","['softmax', 'softmax', 'relu', 'relu', 'tanh']",3.4104,4.4499,1.4287,2271950400.0,1490247200.0,781703200.0
1.8875000000000002,5,"[19, 45, 61, 20, 18]","['softmax', 'tanh', 'relu', 'softmax', 'tanh']",3.6258,4.5682,1.8091,2269601025.0,1494431900.0,775169125.0
2.0500000000000003,5,"[56, 20, 25, 31, 19]","['softmax', 'softmax', 'tanh', 'tanh', 'softmax']",3.5015,4.3643,1.859,2275499675.0,1491862450.0,783637225.0
2.2125000000000004,5,"[34, 56, 62, 62, 49]","['softmax', 'relu', 'softmax', 'relu', 'tanh']",3.584,4.5183,1.8044,2272993425.0,1490458975.0,782534450.0
2.375,5,"[58, 48, 39, 56, 51]","['tanh', 'tanh', 'tanh', 'tanh', 'tanh']",3.502,4.541,1.535,2269344175.0,1484953725.0,784390450.0
2.5375,5,"[48, 18, 21, 34, 29]","['relu', 'softmax', 'relu', 'relu', 'relu']",3.567,4.4398,1.9109,2272205175.0,1488069000.0,784136175.0
2.7,5,"[28, 45, 21, 61, 35]","['relu', 'relu', 'softmax', 'softmax', 'relu']",3.471,4.3549,1.784,2272850150.0,1491456900.0,781393250.0
2.8625000000000003,5,"[41, 61, 47, 34, 44]","['relu', 'relu', 'softmax', 'tanh', 'relu']",3.4468,4.3272,1.7543,2271146575.0,1494011825.0,777134750.0
3.0250000000000004,5,"[22, 39, 19, 22, 26]","['softmax', 'softmax', 'relu', 'tanh', 'softmax']",3.4971,4.4864,1.6283,2277193550.0,1489011225.0,788182325.0
3.1875,5,"[48, 25, 41, 52, 17]","['tanh', 'softmax', 'tanh', 'relu', 'relu']",3.4092,4.3423,1.6326,2273631850.0,1490654300.0,782977550.0
3.35,5,"[59, 41, 40, 26, 32]","['tanh', 'tanh', 'softmax', 'tanh', 'softmax']",3.618,4.4813,1.9819,2272891000.0,1487862625.0,785028375.0
3.5125,5,"[22, 31, 34, 48, 24]","['relu', 'tanh', 'relu', 'relu', 'tanh']",3.4872,4.3929,1.7798,2278550750.0,1488733025.0,789817725.0
3.6750000000000003,5,"[37, 36, 33, 50, 46]","['tanh', 'tanh', 'relu', 'relu', 'relu']",3.6302,4.5258,1.9248,2273181250.0,1490487425.0,782693825.0
3.8375000000000004,5,"[34, 49, 55, 45, 36]","['softmax', 'tanh', 'relu', 'tanh', 'tanh']",3.5385,4.5121,1.6655,2267971275.0,1492292300.0,775678975.0
